id,label,TYPE,CODE,ICAO,DESC,REGION,RUNWAYS,LONGEST,ELEVATION_FT,CONTINENT,COUNTRY_CODE,CITY,LATITUDE,LONGITUDE
23,airport,medium_airport,WKK,5A8,Aleknagik / New Airport,US-AK,1,2040,66,NA,US,Aleknagik,59,-159
36,airport,large_airport,HIR,AGGH,Honiara International Airport,SB-GU,1,7218,28,OC,SB,Honiara,-9,160
37,airport,medium_airport,MUA,AGGM,Munda Airport,SB-WE,1,4593,10,OC,SB,Munda,-8,157
48,airport,medium_airport,MAG,AYMD,Madang Airport,PG-MPM,1,5174,20,OC,PG,Madang,-5,146
49,airport,medium_airport,HGU,AYMH,Mount Hagen Kagamuga Airport,PG-WHM,2,7185,5388,OC,PG,Mount Hagen,-6,144
50,airport,medium_airport,MDU,AYMN,Mendi Airport,PG-SHM,1,4411,5680,OC,PG,Mendi,-6,144
52,airport,medium_airport,WWK,AYWK,Wewak International Airport,PG-ESW,1,5234,19,OC,PG,Wewak,-4,144
54,airport,medium_airport,INU,ANYN,Nauru International Airport,NR-14,1,7054,22,OC,NR,Yaren District,-1,167
55,airport,medium_airport,BUA,AYBK,Buka Airport,PG-NSB,1,5125,11,OC,PG,Buka Island,-5,155
59,airport,medium_airport,KMA,AYKM,Kerema Airport,PG-GPK,1,3044,10,OC,PG,Kerema,-8,146
77,airport,medium_airport,AHJ,AHJ,Hongyuan Airport,CN-51,1,11811,11600,AS,CN,Ngawa (Hongyuan),33,102
85,airport,medium_airport,PNP,AYGR,Girua Airport,PG-NPP,1,5485,311,OC,PG,Popondetta,-9,148
105,airport,medium_airport,CMU,AYCH,Chimbu Airport,PG-CPK,1,3330,4974,OC,PG,Kundiawa,-6,145
108,airport,medium_airport,GKA,AYGA,Goroka Airport,PG-EHG,2,5400,5282,OC,PG,Goronka,-6,145
115,airport,medium_airport,HKN,AYHK,Hoskins Airport,PG-WBK,1,6644,66,OC,PG,Kimbe,-5,150
125,airport,medium_airport,GUR,AYGN,Gurney Airport,PG-MBA,1,5546,88,OC,PG,Gurney,-10,150
128,airport,medium_airport,KVG,AYKV,Kavieng Airport,PG-NIK,1,5592,7,OC,PG,Kavieng,-3,151
131,airport,medium_airport,AXF,AXF,Alxa Left Banner Bayanhot Airport,CN-15,1,7874,4560,AS,CN,Bayanhot,39,106
133,airport,medium_airport,MAS,AYMO,Momote Airport,PG-MRL,1,6136,12,OC,PG,Manus Island,-2,147
137,airport,medium_airport,LAE,AYNZ,Nadzab Airport,PG-MPL,1,7999,239,OC,PG,Lae,-7,147
141,airport,large_airport,POM,AYPY,Port Moresby Jacksons International Airport,PG-NCD,2,9022,146,OC,PG,Port Moresby,-9,147
148,airport,medium_airport,VAI,AYVN,Vanimo Airport,PG-SAN,1,5775,10,OC,PG,Vanimo,-3,141
154,airport,medium_airport,DAU,AYDU,Daru Airport,PG-WPD,1,4593,20,OC,PG,Daru,-9,143
164,airport,medium_airport,RAB,AYTK,Tokua Airport,PG-EBR,1,5643,49,OC,PG,Kokopo,-4,152
